Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
3 to 11 Years,MBA,Full-Time,Sales Representative,Inside Sales Representative,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process."
4 to 9 Years,B.Tech,Full-Time,Business Analyst,Data Business Analyst,"Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)","Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts."
4 to 14 Years,M.Tech,Full-Time,Operations Manager,Operations Director,Operations management Strategic planning and execution Budgeting and financial analysis Leadership and team management Process improvement and optimization,Oversee and manage daily operations to ensure efficiency and productivity. Develop and implement operational strategies and goals. Lead and mentor a team of operations staff.
0 to 14 Years,M.Com,Contract,Environmental Consultant,Sustainability Consultant,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
0 to 13 Years,MBA,Part-Time,Database Administrator,Database Developer,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
3 to 15 Years,PhD,Temporary,Process Engineer,Industrial Engineer,Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design,"Focus on industrial processes and systems. Streamline operations, reduce waste, and improve productivity. Implement lean and Six Sigma methodologies."
0 to 11 Years,BA,Intern,UX/UI Designer,Interaction Designer,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,"Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
4 to 8 Years,BA,Contract,Product Manager,Technical Product Manager,Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills,"Define product requirements, prioritize features, and collaborate with development teams to deliver technical products. Create product roadmaps and release plans. Gather and incorporate feedback from stakeholders."
5 to 15 Years,B.Com,Temporary,Electrical Engineer,Power Systems Engineer,Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
5 to 11 Years,PhD,Full-Time,Personal Assistant,Personal Secretary,Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,"Act as a personal secretary, managing personal appointments and tasks. Handle correspondence and communication on behalf of the employer. Organize personal schedules and commitments."
5 to 14 Years,MBA,Part-Time,Operations Manager,Operations Director,Operations management Strategic planning and execution Budgeting and financial analysis Leadership and team management Process improvement and optimization,Oversee and manage daily operations to ensure efficiency and productivity. Develop and implement operational strategies and goals. Lead and mentor a team of operations staff.
5 to 11 Years,MBA,Full-Time,Software Architect,Cloud Architect,"Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)","Design and implement cloud-based solutions, optimizing for performance and cost-efficiency. Develop cloud migration strategies. Architect and manage cloud infrastructure."
1 to 13 Years,MBA,Contract,Financial Analyst,Investment Analyst,Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
